time_ms,V_mem
8.643864386438644942e+01,3.641217367693988462e-05
8.644864486448645380e+01,3.637576150326294331e-05
8.645864586458645817e+01,3.633938574175967970e-05
8.646864686468647676e+01,3.630304635601792277e-05
8.647864786478648114e+01,3.626674330966190359e-05
8.648864886488649972e+01,3.623047656635224175e-05
8.649864986498650410e+01,3.619424608978589119e-05
8.650865086508650847e+01,3.615805184369610628e-05
8.651865186518652706e+01,3.612189379185240794e-05
8.652865286528653144e+01,3.608577189806055658e-05
8.653865386538653581e+01,3.604968612616249782e-05
8.654865486548655440e+01,3.601363644003633546e-05
8.655865586558655878e+01,3.597762280359629753e-05
8.656865686568657736e+01,3.594164518079270246e-05
8.657865786578658174e+01,3.590570353561191162e-05
8.658865886588658611e+01,3.586979783207630220e-05
8.659865986598660470e+01,3.583392803424422662e-05
8.660866086608660908e+01,3.579809410620998534e-05
8.661866186618662766e+01,3.576229601210377269e-05
8.662866286628663204e+01,3.572653371609167011e-05
8.663866386638663641e+01,3.569080718237557836e-05
8.664866486648665500e+01,3.565511637519320397e-05
8.665866586658665938e+01,3.561946125881801183e-05
8.666866686668667796e+01,3.558384179755919128e-05
8.667866786678668234e+01,3.554825795576162901e-05
8.668866886688668671e+01,3.551270969780586842e-05
8.669866986698670530e+01,3.547719698810806218e-05
8.670867086708670968e+01,3.544171979111995188e-05
8.671867186718672826e+01,3.540627807132883418e-05
8.672867286728673264e+01,3.537087179325750657e-05
8.673867386738673702e+01,3.533550092146424708e-05
8.674867486748675560e+01,3.530016542054278033e-05
8.675867586758675998e+01,3.526486525512223698e-05
8.676867686768677856e+01,3.522960038986711295e-05
8.677867786778678294e+01,3.519437078947724919e-05
8.678867886788678732e+01,3.515917641868777064e-05
8.679867986798680590e+01,3.512401724226908625e-05
8.680868086808681028e+01,3.508889322502681442e-05
8.681868186818682886e+01,3.505380433180178980e-05
8.682868286828683324e+01,3.501875052746998877e-05
8.683868386838683762e+01,3.498373177694251581e-05
8.684868486848685620e+01,3.494874804516557649e-05
8.685868586858686058e+01,3.491379929712040963e-05
8.686868686868687917e+01,3.487888549782328736e-05
8.687868786878688354e+01,3.484400661232546086e-05
8.688868886888688792e+01,3.480916260571313329e-05
8.689868986898690650e+01,3.477435344310741912e-05
8.690869086908691088e+01,3.473957908966431024e-05
8.691869186918692947e+01,3.470483951057464888e-05
8.692869286928693384e+01,3.467013467106407336e-05
8.693869386938693822e+01,3.463546453639301136e-05
8.694869486948695680e+01,3.460082907185661890e-05
8.695869586958696118e+01,3.456622824278476002e-05
8.696869686968697977e+01,3.453166201454197290e-05
8.697869786978698414e+01,3.449713035252742921e-05
8.698869886988698852e+01,3.446263322217490023e-05
8.699869986998700711e+01,3.442817058895272293e-05
8.700870087008701148e+01,3.439374241836377292e-05
8.701870187018701586e+01,3.435934867594541022e-05
8.702870287028703444e+01,3.432498932726946568e-05
8.703870387038703882e+01,3.429066433794219359e-05
8.704870487048705741e+01,3.425637367360425133e-05
8.705870587058706178e+01,3.422211729993064513e-05
8.706870687068706616e+01,3.418789518263071659e-05
8.707870787078708474e+01,3.415370728744808839e-05
8.708870887088708912e+01,3.411955358016063725e-05
8.709870987098710771e+01,3.408543402658047357e-05
8.710871087108711208e+01,3.405134859255389397e-05
8.711871187118711646e+01,3.401729724396134071e-05
8.712871287128713504e+01,3.398327994671738127e-05
8.713871387138713942e+01,3.394929666677066099e-05
8.714871487148715801e+01,3.391534737010388947e-05
8.715871587158716238e+01,3.388143202273378638e-05
8.716871687168716676e+01,3.384755059071105436e-05
8.717871787178718535e+01,3.381370304012034511e-05
8.718871887188718972e+01,3.377988933708022556e-05
8.719871987198720831e+01,3.374610944774314393e-05
8.720872087208721268e+01,3.371236333829540267e-05
8.721872187218721706e+01,3.367865097495710422e-05
8.722872287228723565e+01,3.364497232398214427e-05
8.723872387238724002e+01,3.361132735165816426e-05
8.724872487248725861e+01,3.357771602430650404e-05
8.725872587258726298e+01,3.354413830828219500e-05
8.726872687268726736e+01,3.351059416997391270e-05
8.727872787278728595e+01,3.347708357580393620e-05
8.728872887288729032e+01,3.344360649222813446e-05
8.729872987298730891e+01,3.341016288573590544e-05
8.730873087308731328e+01,3.337675272285016924e-05
8.731873187318731766e+01,3.334337597012732073e-05
8.732873287328733625e+01,3.331003259415719561e-05
8.733873387338734062e+01,3.327672256156303658e-05
8.734873487348735921e+01,3.324344583900147300e-05
8.735873587358736359e+01,3.321020239316247342e-05
8.736873687368736796e+01,3.317699219076931174e-05
8.737873787378738655e+01,3.314381519857854009e-05
8.738873887388739092e+01,3.311067138337996172e-05
8.739873987398740951e+01,3.307756071199658359e-05
8.740874087408741389e+01,3.304448315128458922e-05
8.741874187418741826e+01,3.301143866813330486e-05
8.742874287428743685e+01,3.297842722946517233e-05
8.743874387438744122e+01,3.294544880223570843e-05
8.744874487448745981e+01,3.291250335343347098e-05
8.745874587458746419e+01,3.287959085008003858e-05
8.746874687468746856e+01,3.284671125922995630e-05
